"fishID","Species","Population","Waterway","Predation_Regime","Sex","First_turn_direction","Detour_socialmotivation","Detour_solve_time","Detour_solve_time_imputed","Solve_direction","Standard_length","Mid-body depth","Distance_moved","TimeinWhite","TimeinBlackThigmo","Standard_length_mm"
"Vecna","G. affinis","Martindale","SanMarcosRiver","HP","F","Right",23.875,131.125,131.125,"Left",3.358,0.789,1653.61,65.663,207.833,33.58
"Rosco","G. affinis","Martindale","SanMarcosRiver","HP","M","Left",15.8333333333333,14.1666666666667,14.1666666666667,"Right",2.39,0.557,2107.62,172.66,3.51873,23.9
"Roofus","G. affinis","Martindale","SanMarcosRiver","HP","M","Right",44.8333333333333,134.166666666667,134.166666666667,"Left",2.832,0.584,1603.63,103.837,2.67731,28.32
"Ronald","G. affinis","Martindale","SanMarcosRiver","HP","M","Left",8.83333333333333,52.1666666666667,52.1666666666667,"Left",2.103,0.418,730.754,86.5101,1.22002,21.03
"Rob","G. affinis","Martindale","SanMarcosRiver","HP","M","Left",50.8333333333333,55.1666666666667,55.1666666666667,"Right",2.307,0.491,404.668,9.88346,0.675608,23.07
"Rico","G. affinis","Martindale","SanMarcosRiver","HP","M","Left",14.8333333333333,79.1666666666667,79.1666666666667,"Right",2.486,0.502,1154.95,101.516,2.00496,24.86
"Rhino","G. affinis","Martindale","SanMarcosRiver","HP","M","Left",19.8333333333333,45.1666666666667,45.1666666666667,"Left",2.323,0.451,2041.97,164.767,3.57611,23.23
"Raul","G. affinis","Martindale","SanMarcosRiver","HP","M","Left",12.8333333333333,131.166666666667,131.166666666667,"Right",2.625,0.524,1391.31,109.998,2.32378,26.25
"Tam","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",122.833333333333,133.166666666667,133.166666666667,"Left",3.452,1.066,805.309,275.368,37.2183,34.52
"Tom","P. latipinna","Martindale","SanMarcosRiver","HP","M","n/a",NA,NA,NA,"n/a",4.49,1.477,184.132,0,0,44.9
"Tammy","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",499.833333333333,NA,600,"n/a",5.314,1.695,805.034,207.101,50.2245,53.14
"Umar","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",162.75,266.25,266.25,"Left",3.483,1.042,NA,NA,NA,34.83
"Ulysses","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",213.791666666667,177.208333333333,177.208333333333,"Left",5.884,1.782,NA,NA,NA,58.84
"Uriel","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",68.75,150.25,150.25,"Left",3.017,0.977,NA,NA,NA,30.17
"Ulrich","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",22.7916666666667,141.208333333333,141.208333333333,"Left",3.12,0.865,NA,NA,NA,31.2
"Twila","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",32.7916666666667,112.208333333333,112.208333333333,"Right",3.455,1.052,1413.6,139.035,161.579,34.55
"Tommy","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",121.791666666667,151.208333333333,151.208333333333,"Right",3.636,1.229,1123.86,212.838,72.0689,36.36
"Tina","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",115.75,125.25,125.25,"Left",4.079,1.184,351.333,86.4093,9.17119,40.79
"Thad","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",45.7083333333333,167.291666666667,167.291666666667,"Left",3.463,1.133,964.931,11.2722,426.675,34.63
"Ugo","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",45.8333333333333,222.166666666667,222.166666666667,"Left",3.52,1.044,NA,NA,NA,35.2
"Steve","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",170.791666666667,123.208333333333,123.208333333333,"Left",5.351,1.554,NA,NA,NA,53.51
"Stark","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",447.833333333333,157.166666666667,157.166666666667,"Right",3.086,0.946,NA,NA,NA,30.86
"Saul","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",170.708333333333,109.291666666667,109.291666666667,"Left",2.941,0.913,NA,NA,NA,29.41
"Sam","P. latipinna","Martindale","SanMarcosRiver","HP","M","n/a",NA,NA,NA,"n/a",5.517,1.731,NA,NA,NA,55.17
"Noah","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",101.791666666667,36.2083333333333,36.2083333333333,"Right",3.063,0.874,860.545,153.573,1.43671,30.63
"Nico","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",3.83333333333333,245.166666666667,245.166666666667,"Left",2.82,0.792,1583.15,28.0898,2.64312,28.2
"Neil","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",102.791666666667,72.2083333333333,72.2083333333333,"Left",3.029,0.771,17.5943,599.01,0.029374,30.29
"Nathan","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",11.8333333333333,11.1666666666667,11.1666666666667,"Left",2.93,0.878,778.998,323.233,1.30056,29.3
"Nash","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",127.791666666667,308.208333333333,308.208333333333,"Left",3.131,0.875,558.111,599.005,0.931792,31.31
"Morales","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",36.8333333333333,131.166666666667,131.166666666667,"Right",3.122,0.976,861.45,73.6654,1.43823,31.22
"Momo","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",242.75,9.24999999999997,9.24999999999997,"Left",NA,NA,NA,NA,NA,NA
"Matthew","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",176.75,49.25,49.25,"Left",2.803,0.8,288.996,456.476,0.482847,28.03
"Milan","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",128.791666666667,69.2083333333334,69.2083333333334,"Left",2.978,0.894,281.335,547.83,0.469699,29.78
"Kumba","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",71.8333333333333,250.166666666667,250.166666666667,"Right",3.477,1.103,657.528,87.4306,1.09777,34.77
"Kilo","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",480.833333333333,32.1666666666666,32.1666666666666,"Left",5.441,1.729,700.96,61.5015,1.17028,54.41
"Kevin","P. latipinna","Martindale","SanMarcosRiver","HP","M","n/a",NA,NA,NA,"n/a",5.497,1.747,567.203,304.827,0.950967,54.97
"Kart","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",21.8333333333333,70.1666666666667,70.1666666666667,"Right",2.928,0.872,1324.5,27.3295,2.2113,29.28
"Karl","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",8.83333333333333,340.166666666667,340.166666666667,"Left",3.416,1.055,938.701,99.8352,1.56719,34.16
"Noel","P. latipinna","Martindale","SanMarcosRiver","HP","F","Right",454.791666666667,174.208333333333,174.208333333333,"Left",3.596,0.812,436.897,522.503,0.795874,35.96
"Sora","P. latipinna","Martindale","SanMarcosRiver","HP","F","Right",295.791666666667,167.208333333333,167.208333333333,"Left",4.896,1.363,NA,NA,NA,48.96
"Sammy","P. latipinna","Martindale","SanMarcosRiver","HP","F","n/a",NA,NA,NA,"n/a",4.275,1.313,NA,NA,NA,42.75
"Norah","P. latipinna","Martindale","SanMarcosRiver","HP","F","n/a",NA,NA,NA,"n/a",4.574,1.264,39.4996,599.008,0.065946,45.74
"Sara","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",67.75,117.25,117.25,"Left",2.788,0.84,NA,NA,NA,27.88
"Nike","P. latipinna","Martindale","SanMarcosRiver","HP","F","Right",451.791666666667,NA,600,"Left",4.162,1.399,660.236,417.88,1.10228,41.62
"Nara","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",232.791666666667,NA,600,"n/a",4.019,1.024,758.846,433.391,1.26692,40.19
"Naomi","P. latipinna","Martindale","SanMarcosRiver","HP","F","Right",418.791666666667,116.208333333333,116.208333333333,"Right",4.899,1.756,987.352,165.378,1.64842,48.99
"Molly","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",60.7916666666667,71.2083333333333,71.2083333333333,"Left",3.789,1.292,581.369,474.245,0.970617,37.89
"Melinda","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",75.8333333333333,132.166666666667,132.166666666667,"Left",3.826,1.2,1038.1,199.469,1.73315,38.26
"Merida","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",148.833333333333,118.166666666667,118.166666666667,"Left",4.306,1.069,563.097,125.043,0.961438,43.06
"Mary","P. latipinna","Martindale","SanMarcosRiver","HP","F","n/a",NA,NA,NA,"n/a",3.077,0.892,270.605,599.008,0.451786,30.77
"Malia","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",57.8333333333333,55.1666666666667,55.1666666666667,"Left",3.752,0.949,611.994,377.293,1.03181,37.52
"Koral","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",47.8333333333333,13.1666666666667,13.1666666666667,"Left",5.251,1.605,860.231,92.5866,1.43618,52.51
"Koko","P. latipinna","Martindale","SanMarcosRiver","HP","F","n/a",NA,NA,NA,"n/a",5.958,1.956,38.5079,599.01,0.06429,59.58
"Kierra","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",570.833333333333,NA,NA,"n/a",4.963,1.455,488.422,67.8237,0.82732,49.63
"Klara","P. latipinna","Martindale","SanMarcosRiver","HP","F","n/a",NA,NA,NA,"n/a",5.677,1.83,97.7163,1.56055,0.176653,56.77
"Kayla","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",367.875,NA,NA,"n/a",5.632,1.895,94.2463,596.13,0.158108,56.32
"Olivander","P. latipinna","Martindale","SanMarcosRiver","HP","M","n/a",NA,NA,NA,"n/a",4.509,1.322,340.355,303.065,0.568235,45.09
"Oceana","P. latipinna","Martindale","SanMarcosRiver","HP","F","n/a",NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA
"Odette","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",94.7916666666667,21.2083333333333,21.2083333333333,"Left",4.548,1.312,228.873,259.286,0.382093,45.48
"Olivia","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",285.833333333333,166.166666666667,166.166666666667,"Left",4.083,1.192,873.892,478.24,1.45901,40.83
"Todd","P. latipinna","Martindale","SanMarcosRiver","HP","M","n/a",NA,NA,NA,"n/a",2.955,0.854,22.352,595.807,0.037518,29.55
"Terry","P. latipinna","Martindale","SanMarcosRiver","HP","M","n/a",NA,NA,NA,"n/a",3.147,1.014,333.878,16.1648,0.557415,31.47
"Pablo","P. latipinna","Martindale","SanMarcosRiver","HP","M","Left",268.833333333333,NA,NA,"n/a",3.557,1.18,286.113,599.008,0.477677,35.57
"Peter","P. latipinna","Martindale","SanMarcosRiver","HP","M","Right",339.791666666667,48.2083333333333,48.2083333333333,"Left",4.882,1.541,896.716,286.299,1.4971,48.82
"Penny","P. latipinna","Martindale","SanMarcosRiver","HP","F","Left",194.791666666667,289.208333333333,289.208333333333,"Left",3.577,0.806,254.598,308.268,0.436431,35.77
"Marissa","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",115.791666666667,NA,600,"n/a",3.149,0.667,NA,NA,NA,31.49
"Maude","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",8.83333333333334,34.1666666666667,34.1666666666667,"Right",2.337,0.554,NA,NA,NA,23.37
"Minnie","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",12.7916666666667,12.2083333333333,12.2083333333333,"Right",2.621,0.539,NA,NA,NA,26.21
"Mildred","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",NA,13,13,"Left",2.428,0.602,NA,NA,NA,24.28
"Michael","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",7.66666666666667,378.333333333333,378.333333333333,"Left",1.898,0.429,NA,NA,NA,18.98
"Lincoln","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",27.7083333333333,NA,600,"n/a",2.233,0.504,NA,NA,NA,22.33
"Levi","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",10.8333333333333,19.1666666666667,19.1666666666667,"Left",2.317,0.503,NA,NA,NA,23.17
"Maeve","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",56.7916666666667,57.2083333333333,57.2083333333333,"Left",3.262,0.681,2365.22,300.103,230.199,32.62
"Liam","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",6.70833333333333,264.291666666667,264.291666666667,"Right",1.858,0.406,NA,NA,NA,18.58
"Lawrence","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",33.75,134.25,134.25,"Left",2.175,0.478,NA,NA,NA,21.75
"Lucille","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",12.7083333333333,NA,600,"n/a",2.641,0.585,NA,NA,NA,26.41
"Leona","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",3.70833333333333,NA,600,"n/a",2.475,0.552,NA,NA,NA,24.75
"Leonardo","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",10.6666666666667,73.3333333333333,73.3333333333333,"Left",2.001,0.489,NA,NA,NA,20.01
"Hayden","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",8.79166666666667,512.208333333333,512.208333333333,"Left",NA,NA,4490.7,216.974,287.008,NA
"Humza","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",3.83333333333333,138.166666666667,138.166666666667,"Left",2.078,0.46,NA,NA,NA,20.78
"Harvey","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",14.875,43.125,43.125,"Left",NA,NA,NA,NA,NA,NA
"Hannah","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",1.875,27.125,27.125,"Left",2.167,0.514,NA,NA,NA,21.67
"Harry","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",50.8333333333333,76.1666666666667,76.1666666666667,"Left",2.259,0.432,NA,NA,NA,22.59
"Hera","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",21.875,NA,600,"n/a",2.406,0.59,NA,NA,NA,24.06
"Hailey","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",NA,36,36,"Right",2.617,0.495,NA,NA,NA,26.17
"Penelope","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",26.8333333333333,145.166666666667,145.166666666667,"Right",3.33,0.827,2233.86,160.046,187.76,33.3
"Patrick","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",NA,7,7,"Right",2.038,0.475,1485.52,139.902,333.997,20.38
"Pablo","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",5.75,NA,600,"n/a",2.215,0.472,1591.23,49.0909,388.859,22.15
"Phoebe","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",52.8333333333333,571.166666666667,571.166666666667,"Right",3.152,0.82,1762.8,111.689,209.471,31.52
"Russell","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",10.7916666666667,142.208333333333,142.208333333333,"Right",2.009,0.442,NA,NA,NA,20.09
"Quirl","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",11.8333333333333,66.1666666666667,66.1666666666667,"Left",2.319,0.623,1917.35,72.0689,263.697,23.19
"Quinta","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",9.79166666666667,NA,600,"n/a",2.619,0.703,1940.51,113.99,349.406,26.19
"Quavo","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",19.7083333333333,NA,600,"n/a",2.281,0.535,1320.02,17.7087,268.633,22.81
"Quinn","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",33.75,501.25,501.25,"Right",1.948,0.399,1213.12,171.252,15.9746,19.48
"Rae","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",4.83333333333333,255.166666666667,255.166666666667,"Left",2.504,0.588,2342.48,114.223,290.543,25.04
"River","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",22.875,208.125,208.125,"Right",1.885,0.401,1337.79,151.742,326.861,18.85
"Reese","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",18.7916666666667,61.2083333333333,61.2083333333333,"Left",3.065,0.777,NA,NA,NA,30.65
"Ruth","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",25.8333333333333,NA,NA,"n/a",2.611,0.592,NA,NA,NA,26.11
"Paris","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",17.8333333333333,137.166666666667,137.166666666667,"Left",2.577,0.607,1413.92,40.2531,390.025,25.77
"Peter","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",23.8333333333333,72.1666666666667,72.1666666666667,"Right",1.941,0.443,1637.55,53.9266,423.943,19.41
"Paulina","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",27.875,NA,NA,"n/a",2.485,0.594,2176.86,47.1231,483.571,24.85
"Queen","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Left",14.7916666666667,NA,NA,"n/a",2.11,0.514,1742.08,94.5467,359.678,21.1
"Quentin","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",18.7083333333333,NA,NA,"n/a",1.704,0.455,NA,NA,NA,17.04
"Quincy","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Right",23.8333333333333,190.166666666667,190.166666666667,"Right",2.09,0.479,1183.35,128.731,261.53,20.9
"Rhett","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","M","Left",19.7083333333333,126.291666666667,126.291666666667,"Left",2.251,0.5,NA,NA,NA,22.51
"Rachel","G. affinis","PurgatoryCreek","SanMarcosRiver","LP","F","Right",101.833333333333,75.1666666666667,75.1666666666667,"Right",2.596,0.582,1013.31,29.6147,181.79,25.96
"Garth","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",229.833333333333,NA,600,"n/a",3.17,0.972,164.724,10.7719,205.8,31.7
"Gary","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",77.7916666666667,107.208333333333,107.208333333333,"Right",4.147,1.196,700.371,34.3501,19.8764,41.47
"Gothy","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",584.791666666667,NA,600,"n/a",4.993,1.447,975.255,40.2195,26.7796,49.93
"Genta","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",566.833333333333,NA,600,"n/a",4.824,1.404,1735.09,81.1729,82.6737,48.24
"Gabby","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",587.791666666667,NA,600,"n/a",4.884,1.58,74.6145,0,5.40264,48.84
"Giant","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",251.833333333333,289.166666666667,289.166666666667,"Right",2.7,0.762,592.661,113.084,278.291,27
"Freya","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",60.8333333333333,154.166666666667,154.166666666667,"Right",4.637,1.527,1367.09,253.125,78.7055,46.37
"Fred","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",438.75,NA,600,"n/a",3.473,0.966,51.1769,0,505.685,34.73
"Fletcher","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",136.833333333333,100.166666666667,100.166666666667,"Right",5.271,1.674,1073.61,13.1064,137.534,52.71
"Francesca","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","n/a",NA,NA,NA,"n/a",5.374,1.646,14.9116,0,0,53.74
"Ford","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",10.8333333333333,366.166666666667,366.166666666667,"Right",5.512,1.743,1039.62,106.386,126.962,55.12
"Francine","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",28.875,31.125,31.125,"Left",4.905,1.551,1856.06,10.6386,273.267,49.05
"Flora","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",5.79166666666667,15.2083333333333,15.2083333333333,"Left",3.267,0.964,1060.41,238.284,169.05,32.67
"Koral","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",80.7916666666667,119.208333333333,119.208333333333,"Right",3.769,1.122,957.508,70.6013,170.384,37.69
"Klassy","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",0.791666666666667,115.208333333333,115.208333333333,"Left",4.489,1.256,1477.96,7.63706,253.957,44.89
"Kassie","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",295.75,NA,600,"n/a",5.294,1.484,230.992,0,105.151,52.94
"Kate","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",85.7916666666667,28.2083333333333,28.2083333333333,"Left",4.599,1.28,822.808,205.135,100.016,45.99
"Kim","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",38.7916666666667,77.2083333333333,77.2083333333333,"Left",3.927,1.131,1462.2,185.691,43.0543,39.27
"Julianna","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",24.7916666666667,236.208333333333,236.208333333333,"Right",NA,NA,NA,NA,NA,NA
"Kathy","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",38.8333333333333,49.1666666666667,49.1666666666667,"Left",3.81,1.121,1726.87,220.809,109.121,38.1
"Kyle","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",77.7916666666667,88.2083333333333,88.2083333333333,"Left",3.017,0.876,1439.32,78.1383,233.748,30.17
"Jane","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",261.75,353.25,353.25,"Left",4.203,1.28,NA,NA,NA,42.03
"Josephine","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",101.833333333333,190.166666666667,190.166666666667,"Left",5.728,1.748,NA,NA,NA,57.28
"Joshua","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",5.70833333333333,95.2916666666667,95.2916666666667,"Left",2.762,0.789,NA,NA,NA,27.62
"Jacqueline","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",150.666666666667,93.3333333333333,93.3333333333333,"Left",4.668,1.384,NA,NA,NA,46.68
"Jace","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",10.7916666666667,297.208333333333,297.208333333333,"Right",4.835,0.839,NA,NA,NA,48.35
"Garfield","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",509.75,75.25,75.25,"Right",3.794,1.293,632.552,79.939,44.5551,37.94
"Oscar","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",223.708333333333,42.2916666666666,42.2916666666666,"Right",3.905,1.208,NA,NA,NA,39.05
"Orca","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",106.708333333333,119.291666666667,119.291666666667,"Left",3.161,0.907,NA,NA,NA,31.61
"Orlando","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",45.75,194.25,194.25,"Right",4.437,1.262,NA,NA,NA,44.37
"Olaf","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","n/a",NA,NA,NA,"n/a",4.383,1.154,NA,NA,NA,43.83
"Octavio","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",45.7916666666667,74.2083333333333,74.2083333333333,"Right",3.432,1.043,NA,NA,NA,34.32
"Nina","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",153.833333333333,167.166666666667,167.166666666667,"Left",4.023,1.131,NA,NA,NA,40.23
"Nicholas","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",142.791666666667,450.208333333333,450.208333333333,"Left",5.519,1.567,NA,NA,NA,55.19
"Nelson","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",8.75,109.25,109.25,"Right",3.802,1.194,NA,NA,NA,38.02
"Nate","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Right",26.75,136.25,136.25,"Right",5.182,1.436,NA,NA,NA,51.82
"Nicole","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",231.833333333333,257.166666666667,257.166666666667,"Right",4.832,1.22,NA,NA,NA,48.32
"Nancy","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Right",45.75,189.25,189.25,"Left",3.484,0.935,NA,NA,NA,34.84
"Odessa","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",27.7916666666667,12.2083333333333,12.2083333333333,"Left",4.985,1.431,NA,NA,NA,49.85
"Olivia","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","F","Left",73.75,259.25,259.25,"Left",4.837,1.473,NA,NA,NA,48.37
"Noel","P. latipinna","PurgatoryCreek","SanMarcosRiver","LP","M","Left",28.8333333333333,69.1666666666667,69.1666666666667,"Right",3.37,0.945,NA,NA,NA,33.7
"Gabby","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Left",13.7916666666667,NA,600,"n/a",3.805,0.826,1351.16,13.2838,227.785,38.05
"Gris","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",31.7916666666667,NA,600,"n/a",2.531,0.451,1884.8,118.836,321.857,25.31
"Felipe","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","M","Left",49.7916666666667,373.208333333333,373.208333333333,"Right",2.184,0.442,682.333,396.299,0.920322,21.84
"Fabio","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","M","Right",16.7916666666667,85.2083333333333,85.2083333333333,"Left",2.148,0.422,1878.82,187.546,273.056,21.48
"Gal","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",32.8333333333333,209.166666666667,209.166666666667,"Right",3.306,0.646,1776.64,117.554,297.727,33.06
"Glory","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",22.7916666666667,NA,600,"n/a",3.394,0.697,1876.12,52.0182,172.5,33.94
"Gia","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",25.8333333333333,48.1666666666667,48.1666666666667,"Left",3.78,0.696,1305.12,38.2134,238.603,37.8
"Gemma","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Left",16.75,516.25,516.25,"Right",2.301,0.611,NA,NA,NA,23.01
"Grace","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",61.7916666666667,NA,600,"n/a",2.315,0.54,1101.38,89.7512,215.435,23.15
"Garcia","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",3.79166666666667,27.2083333333333,27.2083333333333,"Right",3.402,0.63,1305.68,26.1691,230.44,34.02
"Gigi","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",2.83333333333333,139.166666666667,139.166666666667,"Right",3.032,0.633,2153.26,136.281,301.611,30.32
"Greta","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",13.7916666666667,513.208333333333,513.208333333333,"Left",2.865,0.525,1928.74,80.8675,323.03,28.65
"Idris","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","M","Left",24.7916666666667,NA,600,"n/a",2.27,0.507,1498.87,77.8272,283.059,22.7
"Ira","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","M","Right",6.79166666666667,NA,600,"n/a",2.674,0.579,2575.47,260.035,201.418,26.74
"Irving","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","M","Left",5.75,NA,600,"n/a",2.099,0.515,2120.42,208.112,223.478,20.99
"Izaiah","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","M","Left",10.75,114.25,114.25,"Left",2.038,0.436,NA,NA,NA,20.38
"Isla","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Left",15.7916666666667,NA,600,"n/a",3.751,0.709,2081.68,233.443,188.947,37.51
"Irene","G. affinis","Seguin_RVPark","GuadalupeRiver","HP","F","Right",5.79166666666667,34.2083333333333,34.2083333333333,"Right",3.343,0.661,2073.5,78.3474,242.245,33.43
